,latitud,longitud,barrio,property_type,property_rooms,property_bedrooms,property_surface_total,property_surface_covered,property_price
443165,-34.5821578,-58.4685781,Villa Ortuzar,departamento,2,1,40,37,86327
412623,-34.5935408,-58.407603,Barrio Norte,departamento,1,1,31,32,78000
56654,-34.580639598,-58.4086418152,Palermo,departamento,3,2,79,72,160000
217679,-34.5929492,-58.4044952,Barrio Norte,departamento,3,2,62,62,210000
386109,-34.5785148,-58.413294,Palermo,departamento,1,1,43,41,159800
391268,-34.6150475,-58.3960599,Balvanera,departamento,2,1,45,40,65000
234177,-34.5997732,-58.3774851,Constitución,departamento,2,1,33,33,51000
214663,-34.6537984,-58.4728477,Parque Avellaneda,casa,3,2,70,70,80000
336307,-34.6149147707,-58.451256752,Caballito,departamento,1,1,77,66,49000
120682,-34.5644444,-58.4372222,Palermo,departamento,3,2,92,71,265000
310307,-34.5596996,-58.4576852,Belgrano,departamento,3,2,64,64,150000
293258,-34.5785195661,-58.4229165316,Palermo,departamento,1,1,45,42,125000
296065,-34.6196284,-58.4001809,San Cristobal,departamento,1,1,77,66,45000
451398,-34.5582036,-58.4527821,Belgrano,ph,5,2,158,108,380000
267951,-34.5969906,-58.4125401,Palermo,departamento,2,1,49,49,137800
398495,-34.5895299,-58.4025324,Recoleta,departamento,2,1,32,32,84000
24568,-34.5918211,-58.3976271,Recoleta,departamento,4,2,90,85,235500
82263,-34.6214456,-58.38856,Balvanera,departamento,3,2,64,64,110000
208467,-34.6218176,-58.3946176,San Cristobal,departamento,4,3,74,70,193000
75542,-34.6103599,-58.411829,Balvanera,departamento,2,1,45,38,99000
142144,-34.5942129,-58.4024562,Recoleta,departamento,3,2,73,73,235000
98003,-34.6209995,-58.4330552,Caballito,departamento,3,2,47,47,89500
273517,-34.58252506122768,-58.425474744127335,Palermo,departamento,2,1,52,44,112000
68728,-34.595342,-58.443452,Villa Crespo,ph,4,3,165,120,240000
162560,-34.6046164,-58.5075821,Villa Devoto,departamento,4,3,83,75,195000
431351,-34.576022,-58.472255,Villa Urquiza,departamento,3,2,70,70,165000
355682,-34.5591099,-58.4875469,Saavedra,departamento,1,1,37,34,89500
170695,-34.6005612,-58.4068278,Once,departamento,4,3,90,90,149000
51034,-34.6015722,-58.458139,Paternal,departamento,3,2,56,53,89000
192107,-34.5943269,-58.3981891,Recoleta,departamento,4,3,202,191,590000
135286,-34.5928417,-58.4083267,Recoleta,departamento,2,1,36,30,69000
198922,-34.5433986759,-58.4687232971,Belgrano,departamento,2,1,59,39,136000
362734,-34.5790023,-58.4524603,Colegiales,departamento,3,1,43,41,95000
432070,-34.6158330554,-58.5009098053,Villa Santa Rita,departamento,2,1,45,40,85500
121112,-34.6266095,-58.439831,Caballito,departamento,4,3,121,91,355000
353988,-34.596097998,-58.4256615127,Palermo,departamento,2,1,35,33,75000
167951,-34.59229756323614,-58.397112487475724,Recoleta,departamento,4,2,165,135,485000
149951,-34.614623,-58.373201,San Telmo,ph,2,1,95,95,95000
159192,-34.6133814,-58.4024376,Balvanera,departamento,3,2,48,47,79000
238627,-34.6033435146,-58.3790130615,San Nicolás,departamento,2,1,40,38,53000
331623,-34.6048826,-58.446263,Recoleta,departamento,3,2,85,83,295000
53491,-34.5751324,-58.4311506,Palermo,departamento,4,3,75,64,179000
372786,-34.5629091,-58.463245,Belgrano,departamento,4,3,150,130,535000
251584,-34.5872755,-58.513193,Villa Devoto,ph,5,3,173,153,320000
262352,-34.5764978,-58.4711622,Villa Urquiza,departamento,2,1,45,41,85000
406786,-34.5889821,-58.3993271,Barrio Norte,departamento,4,3,101,96,290000
133871,-34.5807153,-58.4745703,Villa Urquiza,departamento,1,1,30,32,77000
138147,-34.5907612,-58.4677572,Villa Ortuzar,ph,5,3,214,128,367000
90109,-34.6594582,-58.4781301,Villa Lugano,ph,5,3,170,100,130000
95411,-34.6007381,-58.4920159,Villa del Parque,departamento,2,1,48,43,130000
331553,-34.553467,-58.458256,Nuñez,departamento,2,1,51,46,139000
65232,-34.6157554,-58.4167651,Boedo,departamento,3,2,53,49,145000
430703,-34.6064449,-58.4466075,Villa Crespo,departamento,1,1,37,34,96700
301339,-34.6099019,-58.4185349,Almagro,departamento,4,3,61,60,119900
361749,-34.5960517,-58.4277245,Palermo,departamento,5,4,66,57,242804
5273,-34.5801573,-58.5042277,Villa Pueyrredón,departamento,3,2,152,95,151000
427169,-34.552499,-58.4570816,Belgrano,departamento,4,3,75,70,200000
159199,-34.6183794,-58.4453373,Caballito,departamento,3,2,80,70,150000
452182,-34.5973005,-58.3903331,Recoleta,departamento,1,1,77,66,64000
376737,-34.5906319,-58.401787,Recoleta,departamento,1,1,77,66,65000
94995,-34.6073744,-58.3852878,Tribunales,departamento,5,4,160,160,228000
337818,-34.6112537,-58.4308781,Caballito,departamento,4,3,105,86,210000
440977,-34.5791849,-58.4425828,Chacarita,departamento,3,2,62,46,94500
433798,-34.5756962,-58.421168,Palermo,departamento,4,3,78,78,360000
11074,-34.597355,-58.3954126,Recoleta,departamento,3,2,91,91,200000
10115,-34.599623,-58.4040541,Barrio Norte,departamento,3,2,92,86,170000
