,tipo_precio
83944,alto
195386,bajo
293157,alto
384577,bajo
450142,alto
19986,alto
268361,alto
423087,bajo
212809,alto
375884,bajo
248606,bajo
264733,bajo
69927,medio
407006,bajo
72721,medio
390200,bajo
183889,bajo
50474,medio
281845,medio
121900,alto
338124,medio
141008,medio
387054,medio
243873,bajo
381565,medio
303020,alto
254822,bajo
170348,bajo
162197,medio
362573,bajo
4934,alto
100709,bajo
336531,alto
3048,bajo
443769,medio
223871,alto
314731,medio
434468,medio
32272,bajo
273560,bajo
86154,bajo
203025,alto
282351,medio
354641,bajo
65230,alto
38387,bajo
227884,medio
362486,medio
53525,alto
65635,medio
427544,bajo
422383,alto
399019,bajo
147384,alto
103673,medio
376063,medio
182007,medio
168696,bajo
223734,alto
157983,medio
339488,medio
63710,alto
310551,alto
73526,alto
300556,bajo
60795,alto
300378,bajo
254730,alto
450409,medio
127871,alto
147994,bajo
195141,medio
174687,bajo
222768,bajo
459857,medio
277364,bajo
302885,alto
239898,medio
256819,medio
129871,alto
378299,bajo
65488,alto
210862,bajo
153418,bajo
406327,medio
52101,medio
264423,bajo
391279,alto
333988,medio
209743,alto
174367,alto
315657,alto
311272,medio
34256,bajo
286441,alto
178300,alto
99003,medio
316878,bajo
228947,alto
202757,medio
101098,medio
13209,alto
124816,medio
300257,bajo
336600,bajo
259595,bajo
269912,medio
452577,bajo
229919,bajo
227905,alto
377903,alto
161941,alto
113869,medio
306198,alto
226529,alto
444074,bajo
277102,medio
101036,alto
412168,medio
232947,bajo
404499,medio
66443,bajo
129670,alto
425545,bajo
250579,alto
92038,medio
204322,alto
301205,bajo
460022,alto
398105,medio
235033,medio
158002,bajo
252567,alto
269195,alto
133234,medio
408566,alto
202030,medio
219588,alto
185345,bajo
310903,bajo
288009,medio
117721,bajo
239994,medio
397564,alto
188583,bajo
89085,alto
140513,bajo
170312,medio
139085,bajo
430749,bajo
353981,medio
361790,alto
105681,medio
397090,alto
41979,alto
452299,medio
354497,alto
236558,alto
196729,medio
94183,medio
355883,bajo
243331,medio
256213,alto
375767,medio
189705,alto
136104,medio
301658,bajo
184099,medio
447794,medio
14852,bajo
287434,alto
398172,alto
133704,medio
69431,alto
240529,medio
381909,bajo
89063,medio
187796,bajo
216787,medio
23490,medio
264629,medio
268145,bajo
226243,alto
113420,bajo
181617,medio
440713,medio
282621,bajo
15136,medio
68084,alto
418934,bajo
46397,alto
254935,bajo
269837,alto
77757,bajo
89352,alto
415985,bajo
287330,bajo
123433,bajo
306947,medio
70204,alto
233174,alto
244534,alto
413685,medio
26042,alto
258470,bajo
31150,alto
108513,medio
38623,bajo
283,medio
108694,medio
141867,alto
114363,bajo
25744,alto
399632,alto
384600,medio
49444,alto
215615,alto
122437,medio
381419,medio
358840,bajo
383298,medio
355590,alto
237461,bajo
107630,bajo
433803,alto
158165,alto
320175,medio
57740,alto
226467,bajo
135167,alto
92067,alto
7366,medio
414586,alto
187262,alto
373033,bajo
338918,medio
107014,bajo
353160,medio
361866,medio
116144,medio
39946,medio
351464,bajo
364814,bajo
391093,medio
281223,medio
252852,bajo
319702,medio
441515,medio
272198,bajo
405000,alto
99109,alto
334736,bajo
267018,medio
361745,alto
238153,bajo
7460,medio
101166,alto
139596,alto
189694,alto
193700,medio
275850,bajo
272367,medio
445998,medio
188916,medio
104180,bajo
415433,bajo
447774,bajo
242152,alto
283812,medio
397364,bajo
29980,alto
443871,bajo
295996,bajo
423059,medio
371303,medio
391686,bajo
317562,medio
381898,bajo
447479,bajo
55406,medio
404937,bajo
199745,bajo
412273,bajo
241609,bajo
87924,alto
406178,alto
454816,medio
142450,medio
393276,bajo
182006,medio
330013,bajo
296807,alto
291884,bajo
101132,alto
203750,bajo
41084,bajo
422446,alto
303934,alto
100682,bajo
418551,alto
393734,bajo
235053,bajo
272356,bajo
343324,bajo
206929,medio
66798,medio
12352,medio
8206,medio
103807,medio
259235,alto
79555,bajo
81793,alto
401971,medio
449650,bajo
408611,medio
79440,alto
23214,medio
150972,bajo
289426,bajo
71278,medio
437725,medio
331023,medio
42267,alto
272206,medio
447157,bajo
274085,bajo
379338,bajo
53879,medio
389079,bajo
377959,bajo
23581,medio
422629,alto
231425,alto
57382,medio
454809,bajo
430851,bajo
209273,medio
169947,medio
102802,alto
220463,bajo
195638,bajo
167205,alto
459777,alto
140684,bajo
117818,alto
76823,medio
403053,medio
460011,bajo
442605,alto
362740,bajo
226437,alto
438461,medio
359124,bajo
54167,bajo
212419,medio
233786,alto
58335,bajo
176672,bajo
399885,alto
232822,medio
398621,medio
216829,medio
45872,medio
367605,bajo
296086,alto
288931,medio
363095,alto
46764,alto
261360,bajo
393377,medio
186143,alto
382828,alto
167787,bajo
45256,medio
242304,bajo
216686,bajo
59380,bajo
365081,bajo
183366,medio
334610,medio
399062,medio
456302,bajo
47686,medio
406602,alto
156413,alto
260165,medio
104999,bajo
147200,bajo
79443,bajo
281103,bajo
336384,bajo
174292,medio
204942,medio
139159,alto
148128,medio
375663,medio
452804,medio
199234,bajo
78971,medio
337155,medio
199507,alto
170207,alto
125150,medio
236989,alto
74434,medio
61919,alto
17232,alto
454862,bajo
440704,alto
333914,alto
403184,bajo
423650,alto
145690,medio
279140,bajo
368941,bajo
406906,medio
87923,alto
53668,alto
313751,bajo
143587,alto
199532,bajo
204845,alto
275047,medio
397295,alto
83936,bajo
26250,bajo
26534,medio
277349,bajo
397526,bajo
62272,medio
403215,medio
447239,bajo
383048,alto
321175,alto
360412,alto
432093,bajo
289364,medio
174487,alto
274550,alto
279685,bajo
892,bajo
147653,medio
94266,alto
210301,medio
401751,medio
408613,alto
214133,alto
246508,alto
260177,alto
80939,medio
123738,medio
141892,alto
47755,bajo
174501,medio
244480,medio
169802,medio
420851,alto
295697,medio
319152,bajo
238181,bajo
221474,alto
234131,alto
422636,medio
162428,bajo
387186,bajo
154890,bajo
308007,bajo
242546,bajo
95583,bajo
355364,alto
115223,alto
388652,alto
277590,bajo
269032,alto
257441,medio
233508,bajo
154531,bajo
295753,bajo
163965,alto
324284,medio
10014,bajo
240484,bajo
12529,medio
368601,alto
430803,medio
174271,bajo
427113,medio
82317,alto
57367,medio
76431,bajo
293613,medio
296541,medio
426,alto
427227,bajo
363071,medio
452994,medio
393382,medio
