,property_price
83944,178000
195386,129000
293157,249000
384577,165000
450142,105000
19986,210000
268361,320000
423087,87000
212809,105000
375884,69900
248606,155000
264733,65000
69927,144900
407006,54000
72721,208900
390200,99000
183889,85000
50474,65000
281845,75000
121900,245000
338124,145000
141008,67000
387054,189000
243873,220000
381565,110000
303020,148000
254822,56000
170348,320000
162197,128000
362573,89000
4934,240000
100709,82000
336531,80000
3048,135000
443769,139000
223871,120000
314731,185000
434468,95000
32272,65000
273560,66000
86154,115000
203025,109900
282351,170000
354641,245000
65230,145000
38387,75072
227884,380000
362486,210000
53525,100000
65635,68200
427544,209900
422383,250000
399019,69700
147384,420000
103673,153000
376063,83000
182007,90000
168696,110000
223734,585000
157983,65000
339488,95000
63710,114000
310551,155000
73526,590000
300556,51000
60795,96000
300378,40900
254730,389900
450409,470000
127871,178000
147994,120000
195141,248000
174687,81900
222768,165500
459857,74562
277364,55000
302885,279000
239898,88368
256819,198000
129871,139000
378299,289000
65488,144000
210862,65000
153418,145000
406327,195000
52101,124900
264423,72000
391279,220000
333988,89900
209743,150000
174367,132000
315657,137000
311272,165000
34256,66000
286441,140000
178300,110000
99003,90000
316878,159000
228947,315000
202757,163000
101098,69000
13209,135000
124816,148000
300257,63000
336600,114900
259595,74500
269912,92500
452577,89900
229919,290000
227905,265000
377903,449000
161941,101000
113869,100000
306198,498000
226529,150000
444074,150000
277102,105000
101036,200000
412168,275000
232947,65000
404499,115000
66443,85000
129670,370000
425545,71000
250579,274900
92038,75000
204322,230000
301205,115000
460022,85000
398105,82900
235033,82000
158002,79900
252567,265000
269195,485000
133234,75000
408566,235000
202030,75000
219588,240000
185345,125000
310903,180000
288009,220000
117721,85000
239994,325000
397564,350000
188583,272000
89085,280000
140513,115000
170312,92475
139085,60000
430749,43148
353981,96800
361790,166884
105681,321500
397090,150000
41979,318500
452299,360000
354497,175000
236558,535000
196729,170000
94183,105000
355883,99000
243331,345000
256213,185000
375767,166000
189705,208000
136104,298000
301658,165000
184099,123956
447794,430000
14852,398000
287434,159000
398172,129000
133704,119900
69431,205000
240529,80000
381909,225000
89063,140000
187796,194900
216787,175000
23490,295000
264629,139000
268145,225000
226243,268000
113420,234500
181617,79000
440713,215000
282621,60000
15136,130000
68084,83999
418934,96000
46397,550000
254935,155000
269837,119000
77757,47000
89352,165000
415985,63830
287330,85000
123433,228000
306947,109000
70204,179000
233174,159000
244534,208000
413685,83800
26042,170000
258470,130000
31150,370000
108513,88000
38623,179000
283,155000
108694,210000
141867,105000
114363,208000
25744,158000
399632,290000
384600,87000
49444,180000
215615,195000
122437,109000
381419,145000
358840,99000
383298,125000
355590,365000
237461,215000
107630,85000
433803,230000
158165,188000
320175,105000
57740,419000
226467,79000
135167,110000
92067,151055
7366,96000
414586,205000
187262,119700
373033,58000
338918,380000
107014,175000
353160,85000
361866,79000
116144,357000
39946,220000
351464,260000
364814,65000
391093,275000
281223,137000
252852,291900
319702,155000
441515,300000
272198,59000
405000,114900
99109,505000
334736,240000
267018,65000
361745,249269
238153,70600
7460,125000
101166,140000
139596,159000
189694,440000
193700,120000
275850,129200
272367,325000
445998,100000
188916,149000
104180,105000
415433,78900
447774,135000
242152,305000
283812,89900
397364,71650
29980,259000
443871,159000
295996,115000
423059,219000
371303,170000
391686,140000
317562,180000
381898,120250
447479,79000
55406,72000
404937,157000
199745,180000
412273,105000
241609,122000
87924,120000
406178,88000
454816,110000
142450,158000
393276,35000
182006,95000
330013,72000
296807,549000
291884,100000
101132,180000
203750,140000
41084,92000
422446,139000
303934,139000
100682,130000
418551,145000
393734,143000
235053,45000
272356,60000
343324,217000
206929,138000
66798,78500
12352,98000
8206,89000
103807,70000
259235,329000
79555,77000
81793,340000
401971,120000
449650,56000
408611,75000
79440,120000
23214,89000
150972,139900
289426,70000
71278,81000
437725,155000
331023,185000
42267,239900
272206,89000
447157,89600
274085,69900
379338,62000
53879,76000
389079,68000
377959,43000
23581,129000
422629,390000
231425,399000
57382,79500
454809,79500
430851,100000
209273,175000
169947,135000
102802,160000
220463,85000
195638,120000
167205,168000
459777,295000
140684,199000
117818,120000
76823,220000
403053,166000
460011,65000
442605,500000
362740,49500
226437,275000
438461,175000
359124,67510
54167,149000
212419,81700
233786,219000
58335,138000
176672,165000
399885,157000
232822,63000
398621,80000
216829,215000
45872,90000
367605,55000
296086,180000
288931,118501
363095,195000
46764,363000
261360,315000
393377,170000
186143,120000
382828,249000
167787,96000
45256,108000
242304,70000
216686,64900
59380,60000
365081,62000
183366,69500
334610,108200
399062,183000
456302,220000
47686,150000
406602,290000
156413,197000
260165,195000
104999,47000
147200,25000
79443,87000
281103,59000
336384,63000
174292,127200
204942,149000
139159,128205
148128,89900
375663,169000
452804,215000
199234,68250
78971,110000
337155,380000
199507,530000
170207,125000
125150,199000
236989,115000
74434,108000
61919,198000
17232,385000
454862,212900
440704,270000
333914,390000
403184,129000
423650,227300
145690,287000
279140,238000
368941,135000
406906,125000
87923,112500
53668,90000
313751,245000
143587,245000
199532,120000
204845,380000
275047,449500
397295,230000
83936,385000
26250,134900
26534,105000
277349,260000
397526,149000
62272,285602
403215,179900
447239,39000
383048,250000
321175,220000
360412,98000
432093,69000
289364,245000
174487,125000
274550,250000
279685,80000
892,110000
147653,170000
94266,140000
210301,104900
401751,119000
408613,218000
214133,114000
246508,350000
260177,158517
80939,200000
123738,62370
141892,195000
47755,166000
174501,105000
244480,164000
169802,164500
420851,350000
295697,128000
319152,125000
238181,85900
221474,360000
234131,170000
422636,169000
162428,100000
387186,170400
154890,77000
308007,65000
242546,48000
95583,265000
355364,279000
115223,310000
388652,150000
277590,79000
269032,140000
257441,190000
233508,175000
154531,57000
295753,85000
163965,175000
324284,175000
10014,76900
240484,116000
12529,125000
368601,180000
430803,187000
174271,45000
427113,116000
82317,77000
57367,75000
76431,65000
293613,109000
296541,75000
426,99000
427227,50000
363071,114000
452994,79000
393382,120000
211573,169000
281133,245000
223872,175000
222316,335000
356945,104160
386918,260000
452570,89000
149367,289000
442658,94799
162196,130000
153414,98000
397072,98000
445996,109000
126776,460000
158270,490000
316886,149000
111227,105000
213926,83000
265182,85000
243559,125000
21179,125000
308688,89000
171593,99000
432672,55000
65581,199000
2517,309000
72230,120000
213733,270000
272551,210000
242332,216000
135254,318000
95102,260000
428946,140000
94781,180000
318870,128000
291772,84000
304373,389000
310702,389900
83646,270000
120684,550000
82056,469000
377441,200000
252732,73500
260222,101475
452301,499000
140164,145000
283197,55000
409862,137000
11165,152500
84082,185000
422256,129000
371112,65000
307988,99000
293783,47000
243121,130000
440892,129000
422280,69000
4121,200000
264564,218000
150616,470000
111410,95000
298952,280000
459876,158000
290715,109900
379523,110000
162058,195000
31154,175500
217644,124700
89512,79000
129140,348000
329970,79000
203171,184000
58728,265000
116100,77000
213987,55000
40947,140000
41403,140000
100789,330000
319543,74999
121686,97000
92408,125000
33044,120000
430764,135000
210303,70000
295577,160000
139121,205000
67649,148000
120696,240000
397996,49500
170357,95000
171533,128900
186127,110000
434455,520000
304360,145000
211572,145000
100006,258030
329995,198000
139318,59000
382321,68000
55802,79000
441003,120000
361461,145000
303104,105000
310059,89000
274503,85000
74821,210000
174352,165000
110788,280000
80307,195000
8011,239000
238571,130000
367448,240000
274799,155000
436197,159000
406868,390000
390342,162000
158246,545000
334862,185000
422270,240000
47060,160000
262835,160000
161049,189000
180164,450000
167694,545000
85098,45000
149561,96500
80470,125400
400712,278000
256328,235000
404519,74500
126769,169900
312714,135000
240863,231678
151892,328000
273598,125000
290155,375000
39432,147000
227865,92700
435962,108000
298190,78000
347809,119000
424821,215000
428369,58000
326744,125000
427179,390000
191717,230000
347467,299999
24603,88000
423188,270000
161971,128500
442332,265000
274911,199900
124900,147000
448234,55000
377160,65000
204657,113000
161954,71900
31363,95000
391012,157526
360509,128000
62997,59700
216757,170000
228179,230000
233030,78000
59355,60000
174115,198000
307726,115000
452218,95000
256984,100000
383243,144000
398775,200000
207542,235000
82464,550000
328167,159900
347421,79900
412443,130000
136302,85000
117459,135000
43893,270000
9340,158000
290671,190000
415449,187000
415962,125000
57526,115000
310538,299000
32140,70000
426241,289000
219538,137000
145702,130000
69884,47250
270031,43500
133658,38000
361560,126688
359006,298000
64018,250000
299695,240000
398182,105000
458276,89900
306373,170000
401423,168500
389744,240000
157352,210000
147926,64990
456120,69000
383167,135000
397310,132000
73371,208000
369055,89000
188433,365000
55015,157000
269726,95000
9878,480000
458407,75000
360431,248000
456225,40000
383571,330000
164599,79000
246919,100000
279215,120000
304024,260000
218991,157093
404450,53900
28753,56000
107655,110000
57112,98000
447191,85000
431160,45000
33054,147000
126109,329900
454770,34980
150840,199000
235181,255000
277261,190000
255866,119460
312007,79000
35223,189000
337591,285000
388697,85000
340069,155000
31425,255000
343429,98000
425557,79500
93093,279000
304351,105000
159321,179000
64543,93900
339919,68000
26044,150000
411521,53700
199508,149000
447214,80000
246556,110000
151436,280000
289252,180000
199242,109000
176294,320000
235064,56797
