,property_price
0,155000
1,89000
2,135000
3,115000
4,245000
5,178000
6,289000
7,65000
8,150000
9,272000
10,165000
11,179000
12,109000
13,125000
14,215000
15,260000
16,275000
17,300000
18,240000
19,120000
20,159000
21,140000
22,180000
23,105000
24,122000
25,35000
26,100000
27,145000
28,143000
29,138000
30,89000
31,139900
32,68000
33,399000
34,120000
35,170000
36,249000
37,220000
38,245000
39,39000
40,69000
41,200000
42,265000
43,120000
44,169000
45,245000
46,55000
47,210000
48,200000
49,265000
50,74999
51,145000
52,79000
53,185000
54,160000
55,135000
56,199900
57,144000
58,85000
59,135000
60,79000
61,130000
62,159900
63,120000
64,117900
65,137000
66,118000
67,89000
68,289000
69,52000
70,170000
71,119500
72,143000
73,153000
74,229000
75,139000
76,159000
77,269000
78,244000
79,200000
80,160000
81,60000
82,199900
83,58000
84,148000
85,65000
86,150000
87,119000
88,58000
89,62000
90,330000
91,269000
92,420000
93,56000
94,110000
95,89500
96,65000
97,105000
98,75000
99,125000
100,149000
101,265000
102,55000
103,129000
104,78000
105,72000
106,120000
107,80000
108,179000
109,164900
110,68000
111,170000
112,150000
113,395000
114,150000
115,95000
116,164000
117,285000
118,105000
119,124000
120,185000
121,150000
122,99000
123,135000
124,82000
125,28000
126,429000
127,190000
128,85000
129,82000
130,184900
131,112000
132,135000
133,155000
134,153000
135,325000
136,198000
137,225000
138,110000
139,110000
140,226000
141,320000
142,73000
143,335000
144,180000
145,140000
146,120000
147,135000
148,144900
149,165000
150,92000
151,160000
152,275000
153,149000
154,169999
155,149000
156,165000
157,120000
158,159000
159,159900
160,139500
161,122000
162,165000
163,129000
164,195000
165,105000
166,129000
167,180000
168,127000
169,145000
170,159000
171,175000
172,165000
173,215000
174,85000
175,238000
176,145000
177,320000
178,95000
179,132000
180,155000
181,169000
182,159999
183,170000
184,119000
185,269000
186,168000
187,189000
188,265000
189,95000
190,178000
191,230000
192,175000
193,139000
194,45000
195,214900
196,134990
197,248000
198,260000
199,149000
200,183000
201,198000
202,118000
203,225000
204,330000
205,160000
206,95000
207,149500
208,160000
209,168000
210,145000
211,70000
212,89000
213,88000
214,73000
215,88000
216,180000
217,140000
218,109000
219,340000
220,115000
221,190000
222,165000
223,195000
224,168000
225,65000
226,149900
227,129900
228,155000
229,55000
230,215000
231,299000
232,159900
233,170000
234,140000
235,89000
236,125000
237,78000
238,135000
239,135000
240,280000
241,250000
242,169000
243,89000
244,147000
245,139000
246,394000
247,98000
248,158000
249,130000
250,145000
251,349000
252,150000
253,80000
254,250000
255,330000
256,189000
257,190000
258,129000
259,115000
260,350000
261,45000
262,89000
263,95000
264,260000
265,179000
266,190000
267,280000
268,89000
269,143000
270,69900
271,139900
272,275000
273,80000
274,169000
275,88000
276,159000
277,128000
278,180000
279,117900
280,80000
281,169900
282,205000
283,115000
284,85000
285,89000
286,235000
287,215000
288,260000
289,305000
290,85000
291,98000
292,153900
293,230000
294,250000
295,120000
296,215000
297,88000
298,130000
299,248000
300,49000
301,155000
302,167900
303,360000
304,80000
305,179000
306,188900
307,140000
308,320000
309,95000
310,180000
311,160000
312,240000
313,179000
314,195000
315,279000
316,68000
317,168000
318,85000
319,110000
320,250000
321,118000
322,154000
323,118000
324,85000
325,135000
326,150000
327,259800
328,135000
329,128000
330,175000
331,139500
332,215000
333,205000
334,80000
335,91000
336,89000
337,215000
338,159900
339,168000
340,114900
341,209000
342,185000
343,95000
344,158000
345,199000
346,79899
347,139900
348,70000
349,178000
350,156000
351,169999
352,199000
353,98000
354,129000
355,210000
356,98000
357,360000
358,165000
359,145000
360,140000
361,180000
362,290000
363,144900
364,97000
365,69500
366,135000
367,189000
368,77000
369,160000
370,105000
371,72000
372,390000
373,199000
374,209900
375,140000
376,240000
377,270000
378,163000
379,117000
380,150000
381,205000
382,169000
383,82000
384,199000
385,130000
386,120000
387,148000
388,69000
389,163000
390,198000
391,238000
392,230000
393,210000
394,198000
395,165000
396,314900
397,260000
398,338000
399,135000
400,199000
401,290000
402,189000
403,165000
404,150000
405,129000
406,65000
407,98000
408,150000
409,195000
410,110000
411,99000
412,160000
413,178000
414,138500
415,89000
416,335000
417,225000
418,220000
419,245000
420,145000
421,139000
422,109000
423,65000
424,128000
425,159000
426,149000
427,265000
428,175000
429,270000
430,103000
431,199999
432,185000
433,135000
434,89900
435,160000
436,99500
437,156000
438,200000
439,350000
440,164000
441,90000
442,99000
443,282000
444,100000
445,199000
446,115000
447,100000
448,115000
449,85000
450,280000
451,225000
452,95000
453,120000
454,138000
455,140000
456,70000
457,260000
458,349000
459,174000
460,89900
461,98000
462,85000
463,249000
464,276000
465,215000
466,199800
467,270000
468,109000
469,120000
470,135000
471,335000
472,128000
473,135000
474,89900
475,276000
476,119000
477,330000
478,210000
479,309800
480,227000
481,159000
482,149000
483,109500
484,219000
485,170000
486,250000
487,106000
488,230000
489,95000
490,59000
491,228500
492,225000
493,139000
494,160000
495,149500
496,148000
497,129000
498,290000
499,169000
500,139500
501,178000
502,168000
503,129000
504,69900
505,225000
506,250000
507,139000
508,220000
509,109000
510,128000
511,160000
512,74000
513,370000
514,115000
515,128000
516,320000
517,138500
518,215000
519,220000
520,179000
521,200000
522,139000
523,280000
524,165000
525,140000
526,229900
527,156000
528,210000
529,349000
530,269000
531,145000
532,147000
533,268000
534,170000
535,269000
536,139000
537,128000
538,75000
539,179000
540,294900
541,180000
542,167000
543,370000
544,134800
545,119000
546,160000
547,128000
548,132000
549,105000
550,180000
551,199900
552,180000
553,123900
554,199900
555,282000
556,198000
557,115000
558,109000
559,104000
560,62000
561,59000
562,170000
563,48900
564,120000
565,119000
566,115000
567,210000
568,479900
569,155000
570,79800
571,335000
572,175000
573,170000
574,139500
575,93000
576,115000
577,110000
578,215000
579,185000
580,140000
581,205000
582,280000
583,225000
584,35000
585,299000
586,165000
587,191600
588,120000
589,88000
590,167000
591,89000
592,250000
593,297000
594,120000
595,130000
596,250000
597,100000
598,98000
599,169000
600,367000
601,125000
602,128000
603,299000
604,140000
605,120000
606,259000
607,199000
608,165000
609,245000
610,129900
611,205000
612,150000
613,75000
614,200000
615,149000
616,134000
617,127000
618,345000
619,119900
620,129000
621,175000
622,189900
623,85000
624,170000
625,95000
626,109000
627,178000
628,153000
629,122000
630,160000
631,110000
632,119000
633,95000
634,135000
635,125000
636,279000
637,50000
638,130000
639,190000
640,113000
641,169000
642,150000
643,219850
644,120000
645,99900
646,242000
647,235000
648,110000
649,199000
650,290000
651,130000
652,168000
653,94000
654,168000
655,190000
656,149000
657,245000
658,150000
659,315000
660,223000
661,169000
662,150000
663,115000
664,195000
665,140000
666,258000
667,240000
668,110000
669,349000
670,215000
671,65000
672,140000
673,230000
674,63000
675,149900
676,55000
677,64000
678,165000
679,139500
680,180000
681,250000
682,145000
683,195000
684,58000
685,233000
686,80000
687,249000
688,220000
689,100000
690,110000
691,295000
692,199000
693,185000
694,230000
695,210000
696,170000
697,198000
698,260000
699,255000
700,78000
701,270000
702,130000
703,189000
704,158000
705,186000
706,215000
707,145000
708,149000
709,99000
710,220000
711,105000
712,149000
713,129600
714,189000
715,120000
716,75000
717,149000
718,79000
719,209000
720,445000
721,149000
722,90000
723,45000
724,187500
725,289000
726,60000
727,196000
728,184900
729,132500
730,265000
731,102500
732,190000
733,175000
734,175000
735,220000
736,289000
737,390000
738,145000
739,345000
740,177000
741,88000
742,187000
743,159000
744,287000
745,90000
746,199000
747,133000
748,52500
749,125000
750,150000
751,95000
752,205000
753,165000
754,110000
755,149500
756,80000
757,125000
758,335000
759,155000
760,295000
761,125000
762,165000
763,314900
764,120000
765,84000
766,85000
767,175000
768,142000
769,380000
770,100000
771,125000
772,185000
773,128000
774,160000
775,268500
776,269000
777,130000
778,298000
779,245000
780,220000
781,210000
782,132000
783,275000
784,185000
785,449000
786,72000
787,148000
788,290000
789,79999
790,120000
791,122000
792,72000
793,59900
794,150000
795,135000
796,215000
797,85000
798,99500
799,69000
800,248000
801,132500
802,220000
803,195000
804,148000
805,159000
806,169000
807,290000
808,102000
809,172000
810,90000
811,135000
812,129900
813,159000
814,230000
815,120000
816,128000
817,145000
818,127000
819,148000
820,220000
821,360000
822,115000
823,167000
824,85000
825,139000
826,140000
827,114000
828,99000
829,195000
830,72500
831,110000
832,214900
833,178000
834,138000
835,199000
836,155000
837,115000
838,470000
839,237000
840,209000
841,330000
842,198000
843,288000
844,125500
845,140000
846,230000
847,79000
848,135000
849,96000
850,135000
851,110000
852,189500
853,115000
854,205000
855,170900
856,253000
857,98000
858,85000
859,90000
860,270000
861,154000
862,370000
863,175000
864,259000
865,230000
866,87000
867,220000
868,279500
869,189000
870,197000
871,210000
872,230000
873,198000
874,129000
875,270000
876,295000
877,175000
878,150000
879,152000
880,80000
881,279000
882,159000
883,96000
884,280000
885,155000
886,129000
887,335000
888,160000
889,149000
890,218000
891,60000
892,157000
893,165000
894,170000
895,295000
896,200000
897,133000
898,240000
899,118000
900,88000
901,99000
902,79000
903,265000
904,220000
905,105000
906,255000
907,230000
908,235000
909,160000
910,159000
911,82000
912,175000
913,180000
914,145000
915,164990
916,56900
917,168000
918,260000
919,120000
920,70000
921,380000
922,118000
923,155000
924,149000
925,79000
926,155000
927,180000
928,119000
929,120000
930,124000
931,90000
932,98000
933,250000
934,245000
935,270000
936,167000
937,138000
938,285000
939,340000
940,119000
941,98000
942,145000
943,174900
944,198000
945,198000
946,359900
947,115900
948,80000
949,97500
950,138500
951,120000
952,225000
953,210000
954,195000
955,285000
956,200000
957,340000
958,199000
959,259000
960,115000
961,135000
962,90000
963,199000
964,139900
965,145000
