,latitud,longitud,barrio,property_type,property_rooms,property_bedrooms,property_surface_total,property_surface_covered,property_price
83944,-34.5542715,-58.4576679,Belgrano,departamento,2,1,59,59,178000
195386,-34.613544,-58.368072,Monserrat,departamento,3,2,71,71,129000
293157,-34.5710195196,-58.4331250191,Palermo,departamento,2,1,79,59,249000
384577,-34.5973837,-58.4051391,Barrio Norte,departamento,4,3,91,85,165000
19986,-34.6218176,-58.3946176,San Cristobal,departamento,4,3,74,70,210000
268361,-34.6189461,-58.3601683,Puerto Madero,departamento,2,1,102,62,320000
423087,-34.6037869,-58.414353,Almagro,departamento,3,2,49,46,87000
248606,-34.6105851,-58.4285009,Almagro,ph,3,2,114,82,155000
264733,-34.644286,-58.494194,Parque Avellaneda,departamento,2,1,40,40,65000
69927,-34.5648393,-58.4672593,Belgrano,departamento,4,3,76,76,144900
407006,-34.6093907,-58.376433,Centro / Microcentro,departamento,2,1,32,32,54000
72721,-34.564291,-58.485524,Villa Urquiza,departamento,3,2,107,62,208900
281845,-34.6154153648,-58.5005081568,Floresta,departamento,1,1,39,33,75000
121900,-34.5433334,-58.4713962,Nuñez,departamento,3,2,89,76,245000
338124,-34.6022826,-58.4665953,Villa Crespo,departamento,3,2,60,60,145000
387054,-34.5930227,-58.4030223,Recoleta,departamento,3,2,100,100,189000
243873,-34.5793235567,-58.4789751312,Villa Urquiza,departamento,3,2,170,91,220000
381565,-34.6281851,-58.4445752,Caballito,departamento,2,1,57,51,110000
303020,-34.5843671894,-58.4058094025,Recoleta,departamento,2,1,59,53,148000
254822,-34.6286726,-58.4093224,San Cristobal,departamento,1,1,37,31,56000
170348,-34.5871551,-58.4481155,Chacarita,departamento,4,3,195,129,320000
162197,-34.6324228,-58.3750166,Barracas,departamento,2,1,57,52,128000
4934,-34.555919,-58.4575773,Belgrano,departamento,4,3,80,70,240000
100709,-34.6244365,-58.4567991,Flores,departamento,2,1,53,44,82000
3048,-34.6154534804,-58.3837631593,Monserrat,ph,3,2,72,66,135000
314731,-34.6015869022,-58.4344569337,Villa Crespo,departamento,3,2,78,68,185000
434468,-34.6236475,-58.4916541,Monte Castro,departamento,2,1,46,46,95000
32272,-34.610317,-58.4716532,Villa General Mitre,departamento,3,2,50,50,65000
86154,-34.6583201,-58.4961077,Mataderos,ph,3,2,62,46,115000
282351,-34.5909375,-58.4116743,Palermo,departamento,4,3,83,75,170000
354641,-34.6426774,-58.4675338,Flores,ph,4,2,202,114,245000
65230,-34.6083,-58.3712,Boedo,departamento,3,2,53,49,145000
38387,-34.6185267,-58.3802742,San Telmo,departamento,1,1,44,37,75072
